Date,CustomerID,Revenue,Sessions,Signups,Churns
2024-01-01,1001,5200,150,3,0
2024-01-02,1001,5150,145,2,0
2024-01-03,1001,5100,142,1,0
2024-01-04,1001,5250,155,4,0
2024-01-05,1001,5300,160,2,0
2024-01-08,1001,5400,165,3,0
2024-01-09,1001,5350,158,2,0
2024-01-10,1001,5500,170,5,0
2024-01-11,1001,5450,168,3,0
2024-01-12,1001,5600,175,4,1
2024-01-15,1001,5550,172,2,0
2024-01-16,1001,5700,180,6,0
2024-01-17,1001,5650,178,3,0
2024-01-18,1001,5800,185,4,0
2024-01-19,1001,5750,182,2,0
2024-01-22,1001,5900,190,5,0
2024-01-23,1001,5850,188,3,0
2024-01-24,1001,6000,195,6,0
2024-01-25,1001,5950,192,4,0
2024-01-26,1001,6100,200,5,1
2024-01-01,1004,6200,180,4,0
2024-01-02,1004,6150,175,3,0
2024-01-03,1004,6300,185,5,0
2024-01-04,1004,6250,182,3,0
2024-01-05,1004,6400,190,4,0
2024-01-08,1004,6350,188,3,0
2024-01-09,1004,6500,195,6,0
2024-01-10,1004,6450,193,4,0
2024-01-11,1004,6600,200,5,0
2024-01-12,1004,6550,198,3,1
2024-01-15,1004,6700,205,4,0
2024-01-16,1004,6650,202,3,0
2024-01-17,1004,6800,210,6,0
2024-01-18,1004,6750,208,4,0
2024-01-19,1004,6900,215,5,0
2024-01-22,1004,6850,212,3,0
2024-01-23,1004,7000,220,7,0
2024-01-24,1004,6950,218,4,0
2024-01-25,1004,7100,225,5,0
2024-01-26,1004,7050,222,4,1
